collectid,plotid,stageid,datasheettype
1,1,1,fuel
2,2,1,fuel
3,3,1,fuel
4,4,1,fuel
5,5,1,fuel
6,6,1,fuel
7,7,1,fuel
8,8,1,fuel
9,9,1,fuel
10,10,1,fuel
11,11,1,fuel
12,12,1,fuel
13,13,1,fuel
14,14,1,fuel
15,15,1,fuel
16,16,1,fuel
17,17,1,fuel
18,18,1,fuel
19,19,1,fuel
20,20,1,fuel
21,21,1,fuel
22,22,1,fuel
23,23,1,fuel
24,24,1,fuel
25,25,1,fuel
26,26,1,fuel
27,27,1,fuel
28,28,1,fuel
29,29,1,fuel
30,30,1,fuel
31,31,1,fuel
32,32,1,fuel
33,33,1,fuel
34,34,1,fuel
35,35,1,fuel
36,36,1,fuel
37,37,1,fuel
38,38,1,fuel
39,39,1,fuel
40,40,1,fuel
41,41,1,fuel
42,42,1,fuel
43,43,1,fuel
44,44,1,fuel
45,45,1,fuel
46,46,1,fuel
47,47,1,fuel
48,48,1,fuel
49,49,1,fuel
50,50,1,fuel
51,51,1,fuel
52,52,1,fuel
53,53,1,fuel
54,54,1,fuel
55,55,1,fuel
56,56,1,fuel
57,57,1,fuel
58,58,1,fuel
59,59,1,fuel
60,60,1,fuel
61,61,1,fuel
62,62,1,fuel
63,63,1,fuel
64,64,1,fuel
65,65,1,fuel
66,66,1,fuel
67,67,1,fuel
68,68,1,fuel
69,69,1,fuel
70,70,1,fuel
71,71,1,fuel
72,72,1,fuel
73,73,1,fuel
74,74,1,fuel
75,75,1,fuel
76,76,1,fuel
77,77,1,fuel
78,78,1,fuel
79,79,1,fuel
80,80,1,fuel
81,81,1,fuel
82,82,1,fuel
83,83,1,fuel
84,84,1,fuel
85,85,1,fuel
86,86,1,fuel
87,87,1,fuel
88,88,1,fuel
89,89,1,fuel
90,90,1,fuel
91,91,1,fuel
92,92,1,fuel
93,93,1,fuel
94,94,1,fuel
95,95,1,fuel
96,96,1,fuel
97,97,1,fuel
98,98,1,fuel
99,99,1,fuel
100,100,1,fuel
101,101,1,fuel
102,102,1,fuel
103,103,1,fuel
104,104,1,fuel
105,105,1,fuel
106,106,1,fuel
107,107,1,fuel
108,1,1,regen
109,5,1,regen
110,4,1,regen
111,2,1,regen
112,3,1,regen
113,7,1,regen
114,10,1,regen
115,8,1,regen
116,6,1,regen
117,9,1,regen
118,14,1,regen
119,12,1,regen
120,15,1,regen
121,13,1,regen
122,11,1,regen
123,17,1,regen
124,16,1,regen
125,19,1,regen
126,18,1,regen
127,20,1,regen
128,22,1,regen
129,26,1,regen
130,25,1,regen
131,23,1,regen
132,24,1,regen
133,27,1,regen
134,32,1,regen
